iter	Passed	Remaining
0	7	697
1	11	566
2	15	511
3	19	465
4	40	778
5	45	713
6	59	794
7	96	1108
8	102	1034
9	106	958
10	111	898
11	116	854
12	142	956
13	158	973
14	171	971
15	176	925
16	180	882
17	185	843
18	189	808
19	196	784
20	202	761
21	206	732
22	212	710
23	216	687
24	223	669
25	228	648
26	231	625
27	244	627
28	263	646
29	269	628
30	273	608
31	277	589
32	287	584
33	291	566
34	296	550
35	300	533
36	303	517
37	308	502
38	313	490
39	317	476
40	321	462
41	323	446
42	327	433
43	331	421
44	334	409
45	338	396
46	340	384
47	344	373
48	349	363
49	352	352
50	356	342
51	360	332
52	364	323
53	368	313
54	370	303
55	375	295
56	378	285
57	381	276
58	384	267
59	389	259
60	393	251
61	397	243
62	401	235
63	406	228
64	410	220
65	413	213
66	419	206
67	423	199
68	428	192
69	434	186
70	437	178
71	441	171
72	446	165
73	450	158
74	454	151
75	459	145
76	463	138
77	466	131
78	472	125
79	477	119
80	481	112
81	485	106
82	489	100
83	492	93
84	497	87
85	505	82
86	509	76
87	513	70
88	519	64
89	523	58
90	528	52
91	533	46
92	537	40
93	541	34
94	545	28
95	550	22
96	554	17
97	559	11
98	564	5
99	567	0
